structure,prompt
"Full Formula (La1 Fe1 O3)
Reduced Formula: LaFeO3
abc   :   3.957177   3.957177   3.957177
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  La3+  0    0    0
  1  Fe3+  0.5  0.5  0.5
  2  O2-   0.5  0.5  0
  3  O2-   0.5  0    0.5
  4  O2-   0    0.5  0.5","You are a materials science expert. Please generate some simple and standard structures in the CIF format according to the requirements. You must strictly follow the CIF format specifications. Since the symmetry-related information can be complex, you can write the CIF file with P1 symmetry when necessary. Please ensure the output is a correct CIF file. Return the fixed CIF content within <cif> and </cif> tags.
 Requirements:
 Please generate a CIF file for LaFeO3 with a perovskite structure, according to the following information about the convensional cell:
 - Lattice constant a: 3.957177 Angstrom
 - The Fe atom is at the center of the octahedron formed by surrounding atoms."
"Full Formula (Mg4 Se4)
Reduced Formula: MgSe
abc   :   5.467447   5.467447   5.467447
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Mg2+  0    0    0
  1  Mg2+  0    0.5  0.5
  2  Mg2+  0.5  0    0.5
  3  Mg2+  0.5  0.5  0
  4  Se2-  0.5  0    0
  5  Se2-  0.5  0.5  0.5
  6  Se2-  0    0    0.5
  7  Se2-  0    0.5  0","You are a materials science expert. Please generate some simple and standard structures in the CIF format according to the requirements. You must strictly follow the CIF format specifications. Since the symmetry-related information can be complex, you can write the CIF file with P1 symmetry when necessary. Please ensure the output is a correct CIF file. Return the fixed CIF content within <cif> and </cif> tags.
 Requirements:
 Please generate a CIF file for MgSe with a rocksalt structure, according to the following information about the convensional cell:
 - Lattice constant a: 5.46744704 Angstrom"
"Full Formula (Na8 O4)
Reduced Formula: Na2O
abc   :   5.484982   5.484982   5.484982
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (12)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Na+   0.25  0.75  0.75
  1  Na+   0.75  0.25  0.25
  2  Na+   0.25  0.25  0.25
  3  Na+   0.75  0.75  0.75
  4  Na+   0.75  0.75  0.25
  5  Na+   0.25  0.25  0.75
  6  Na+   0.75  0.25  0.75
  7  Na+   0.25  0.75  0.25
  8  O2-   0     0     0
  9  O2-   0     0.5   0.5
 10  O2-   0.5   0     0.5
 11  O2-   0.5   0.5   0","You are a materials science expert. Please generate some simple and standard structures in the CIF format according to the requirements. You must strictly follow the CIF format specifications. Since the symmetry-related information can be complex, you can write the CIF file with P1 symmetry when necessary. Please ensure the output is a correct CIF file. Return the fixed CIF content within <cif> and </cif> tags.
 Requirements:
 Please generate a CIF file for Na2O with a fluorite structure, according to the following information about the convensional cell:
 - Lattice constant a: 5.48498174 Angstrom"
"Full Formula (Na4 Cl4)
Reduced Formula: NaCl
abc   :   5.588126   5.588126   5.588126
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Na+   0    0    0
  1  Na+   0    0.5  0.5
  2  Na+   0.5  0    0.5
  3  Na+   0.5  0.5  0
  4  Cl-   0    0    0.5
  5  Cl-   0    0.5  0
  6  Cl-   0.5  0    0
  7  Cl-   0.5  0.5  0.5","You are a materials science expert. Please generate some simple and standard structures in the CIF format according to the requirements. You must strictly follow the CIF format specifications. Since the symmetry-related information can be complex, you can write the CIF file with P1 symmetry when necessary. Please ensure the output is a correct CIF file. Return the fixed CIF content within <cif> and </cif> tags.
 Requirements:
 Please generate a CIF file for NaCl with a rocksalt structure, according to the following information about the convensional cell:
 - Lattice constant a: 5.58812644 Angstrom"
"Full Formula (Pb2 Br4)
Reduced Formula: PbBr2
abc   :   7.106865   7.106865   4.582521
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP           a         b    c
---  ----  --------  --------  ---
  0  Pb2+  0         0         0
  1  Pb2+  0.5       0.5       0.5
  2  Br-   0.301156  0.301156  0
  3  Br-   0.698844  0.698844  0
  4  Br-   0.198844  0.801156  0.5
  5  Br-   0.801156  0.198844  0.5","You are a materials science expert. Please generate some simple and standard structures in the CIF format according to the requirements. You must strictly follow the CIF format specifications. Since the symmetry-related information can be complex, you can write the CIF file with P1 symmetry when necessary. Please ensure the output is a correct CIF file. Return the fixed CIF content within <cif> and </cif> tags.
 Requirements:
 Please generate a CIF file for PbBr2 with a rutile structure, according to the following information about the convensional cell:
 - Lattice constant a: 7.10686483 Angstrom
 - Lattice constant c: 4.58252113 Angstrom"
"Full Formula (Sb1)
Reduced Formula: Sb
abc   :   3.083344   3.083344   3.083344
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (1)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Sb0+    0    0    0","You are a materials science expert. Please generate some simple and standard structures in the CIF format according to the requirements. You must strictly follow the CIF format specifications. Since the symmetry-related information can be complex, you can write the CIF file with P1 symmetry when necessary. Please ensure the output is a correct CIF file. Return the fixed CIF content within <cif> and </cif> tags.
 Requirements:
 Please generate a CIF file for Sb with a sc structure, according to the following information about the convensional cell:
 - Lattice constant a: 3.08334361 Angstrom"
"Full Formula (Se1)
Reduced Formula: Se
abc   :   2.810563   2.810563   2.810563
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (1)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Se0+    0    0    0","You are a materials science expert. Please generate some simple and standard structures in the CIF format according to the requirements. You must strictly follow the CIF format specifications. Since the symmetry-related information can be complex, you can write the CIF file with P1 symmetry when necessary. Please ensure the output is a correct CIF file. Return the fixed CIF content within <cif> and </cif> tags.
 Requirements:
 Please generate a CIF file for Se with a sc structure, according to the following information about the convensional cell:
 - Lattice constant a: 2.81056302 Angstrom"
"Full Formula (Si8)
Reduced Formula: Si
abc   :   5.443702   5.443702   5.443702
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Si0+  0.75  0.75  0.25
  1  Si0+  0     0.5   0.5
  2  Si0+  0.75  0.25  0.75
  3  Si0+  0     0     0
  4  Si0+  0.25  0.75  0.75
  5  Si0+  0.5   0.5   0
  6  Si0+  0.25  0.25  0.25
  7  Si0+  0.5   0     0.5","You are a materials science expert. Please generate some simple and standard structures in the CIF format according to the requirements. You must strictly follow the CIF format specifications. Since the symmetry-related information can be complex, you can write the CIF file with P1 symmetry when necessary. Please ensure the output is a correct CIF file. Return the fixed CIF content within <cif> and </cif> tags.
 Requirements:
 Please generate a CIF file for Si with a diamond structure, according to the following information about the convensional cell:
 - Lattice constant a: 5.44370237 Angstrom"
"Full Formula (Ti2 O4)
Reduced Formula: TiO2
abc   :   4.599837   4.599837   2.959214
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP           a         b    c
---  ----  --------  --------  ---
  0  Ti4+  0.5       0.5       0
  1  Ti4+  0         0         0.5
  2  O2-   0.695679  0.695679  0.5
  3  O2-   0.195679  0.804321  0
  4  O2-   0.804321  0.195679  0
  5  O2-   0.304321  0.304321  0.5","You are a materials science expert. Please generate some simple and standard structures in the CIF format according to the requirements. You must strictly follow the CIF format specifications. Since the symmetry-related information can be complex, you can write the CIF file with P1 symmetry when necessary. Please ensure the output is a correct CIF file. Return the fixed CIF content within <cif> and </cif> tags.
 Requirements:
 Please generate a CIF file for TiO2 with a rutile structure, according to the following information about the convensional cell:
 - Lattice constant a: 4.59983732 Angstrom
 - Lattice constant c: 2.95921356 Angstrom"
"Full Formula (W2)
Reduced Formula: W
abc   :   3.170316   3.170316   3.170316
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  W0+   0    0    0
  1  W0+   0.5  0.5  0.5","You are a materials science expert. Please generate some simple and standard structures in the CIF format according to the requirements. You must strictly follow the CIF format specifications. Since the symmetry-related information can be complex, you can write the CIF file with P1 symmetry when necessary. Please ensure the output is a correct CIF file. Return the fixed CIF content within <cif> and </cif> tags.
 Requirements:
 Please generate a CIF file for W with a bcc structure, according to the following information about the convensional cell:
 - Lattice constant a: 3.17031556 Angstrom"
